True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year
10315.0,10268.47900000001,46.520999999989726,10315.0,10301.6,-121.94999999999891,0,11,3
7639.5,7619.340749999999,20.15925000000061,7639.5,7619.2,-84.35000000000036,0,12,3
12278.3,12264.31125,13.988749999998618,12278.3,12269.25,57.25,1,52,12
17973.6,17961.981499999983,11.618500000015047,17973.6,17970.9,81.75,1,44,11
15807.9,15772.875499999967,35.024500000032276,15807.9,15796.45,-8.649999999999636,4,23,6
12185.75,12204.269499999988,-18.5194999999876,12185.75,12197.0,-30.450000000000728,2,51,12
11854.45,11866.409999999974,-11.959999999973661,11854.45,11839.9,-24.649999999999636,0,27,7
10725.6,10736.102000000003,-10.502000000002226,10725.6,10731.25,-39.100000000000364,0,47,11
11382.15,11368.826500000008,13.323499999991327,11382.15,11382.5,35.70000000000073,3,11,3
11477.8,11471.479500000009,6.320499999990716,11477.8,11493.25,22.149999999999636,3,32,8
8588.0,8575.726499999999,12.27350000000115,8588.0,8594.0,7.549999999999272,4,41,10
16539.5,16549.97125,-10.47124999999869,16539.5,16561.4,-54.349999999998545,1,34,8
8199.05,8199.59875,-0.5487499999999272,8199.05,8202.25,-67.20000000000073,3,25,6
11100.85,11104.387249999994,-3.5372499999939464,11100.85,11106.55,-9.0,1,35,8
17660.55,17574.117500000004,86.43249999999534,17660.55,17609.65,-26.299999999999272,3,38,9
7902.6,7899.540750000003,3.059249999997519,7902.6,7894.8,29.949999999999818,0,17,4
10291.75,10259.735250000009,32.01474999999118,10291.75,10287.2,-9.849999999998545,0,47,11
18150.8,18164.947500000024,-14.147500000024593,18150.8,18170.4,-27.19999999999709,2,2,1
17959.05,17909.352749999984,49.69725000001563,17959.05,17915.8,-89.54999999999927,1,41,10
10501.65,10503.305750000007,-1.655750000007174,10501.65,10512.3,-13.300000000001091,1,52,12
9810.0,9843.137500000013,-33.13750000001346,9810.0,9825.85,-74.79999999999927,2,33,8
8652.05,8654.107000000009,-2.0570000000097934,8652.05,8643.95,57.150000000001455,3,30,7
10183.05,10140.014249999998,43.03575000000092,10183.05,10167.5,60.850000000000364,3,12,3
10999.0,11012.389249999993,-13.389249999992899,10999.0,11018.95,78.25,0,29,7
8557.95,8573.114499999998,-15.164499999997133,8557.95,8568.9,51.899999999999636,2,13,3
7569.4,7554.734499999987,14.665500000012798,7569.4,7557.4,67.79999999999927,3,11,3
16313.8,16270.35699999997,43.443000000028405,16313.8,16248.9,41.149999999999636,1,19,5
11406.3,11404.574000000008,1.7259999999914726,11406.3,11409.65,31.25,4,34,8
16157.9,16230.604999999983,-72.70499999998356,16157.9,16227.7,-80.69999999999891,0,19,5
10385.25,10395.93874999999,-10.68874999999025,10385.25,10387.9,24.100000000000364,1,48,11
18571.3,18534.02000000006,37.27999999994063,18571.3,18570.85,-43.55000000000291,3,49,12
18169.6,18092.37849999998,77.22150000001784,18169.6,18117.3,47.349999999998545,4,18,5
11661.9,11680.231749999995,-18.331749999995736,11661.9,11675.6,74.75,3,29,7
17783.1,17738.936499999996,44.16350000000239,17783.1,17796.8,246.70000000000073,4,37,9
21715.5,21739.633500000007,-24.13350000000719,21715.5,21780.65,90.35000000000218,3,5,2
18623.2,18534.907750000057,88.29224999994403,18623.2,18552.45,-51.14999999999782,1,48,11
14185.85,14226.541500000003,-40.691500000002634,14185.85,14237.95,273.7000000000007,2,4,1
10442.25,10406.444000000009,35.8059999999914,10442.25,10431.75,-4.049999999999272,0,45,11
15502.5,15465.858000000002,36.641999999998006,15502.5,15520.35,-69.64999999999964,2,22,6
22641.75,22586.023500000014,55.72649999998612,22641.75,22617.45,60.35000000000218,3,22,5
7994.2,7989.3747500000045,4.825249999995322,7994.2,8006.5,-103.64999999999964,4,47,11
21664.55,21694.37325000004,-29.8232500000413,21664.55,21653.6,101.64999999999782,1,2,1
11665.7,11685.0625,-19.362499999999272,11665.7,11670.75,-15.5,2,29,7
22328.05,22373.751000000015,-45.70100000001548,22328.05,22339.05,61.599999999998545,0,16,4
17854.3,17797.24300000001,57.056999999989785,17854.3,17842.75,43.45000000000073,2,14,4
11913.5,11919.269999999997,-5.769999999996799,11913.5,11919.45,-36.19999999999891,1,47,11
14680.8,14721.617000000013,-40.81700000001365,14680.8,14702.5,-81.64999999999964,0,9,3
17414.5,17500.255500000036,-85.75550000003568,17414.5,17468.15,-3.4499999999970896,2,13,3
8380.05,8393.841250000003,-13.791250000003856,8380.05,8396.0,47.95000000000073,4,13,3
12161.2,12187.98599999998,-26.78599999998005,12161.2,12153.15,-61.30000000000109,3,2,1
8546.6,8452.188750000005,94.41124999999556,8546.6,8478.1,-100.75,1,7,2
9424.25,9499.231500000016,-74.98150000001624,9424.25,9587.8,387.75,0,12,3
8611.05,8600.851500000017,10.198499999982232,8611.05,8628.35,-10.949999999998909,1,34,8
12251.25,12256.038749999992,-4.788749999992433,12251.25,12261.1,38.899999999999636,4,1,1
17191.45,17299.00349999997,-107.55349999996906,17191.45,17289.0,111.04999999999927,4,12,3
9048.45,9095.401750000008,-46.95175000000745,9048.45,9082.2,-235.1999999999989,2,22,5
17614.1,17730.72225000002,-116.62225000002218,17614.1,17731.45,48.900000000001455,1,5,1
11666.95,11638.319499999989,28.630500000012034,11666.95,11667.0,-20.649999999999636,0,16,4
15208.65,15274.943500000016,-66.29350000001614,15208.65,15272.65,-58.100000000000364,4,24,6
25217.1,25251.55100000003,-34.451000000030035,25217.1,25250.5,105.70000000000073,3,36,9
17526.85,17552.020999999993,-25.17099999999482,17526.85,17566.1,42.349999999998545,2,32,8
19789.2,19782.236249999987,6.963750000013533,19789.2,19784.0,-26.599999999998545,2,47,11
10480.4,10487.678500000002,-7.278500000002168,10480.4,10488.95,1.0,2,9,2
24449.3,24427.142500000045,22.15749999995387,24449.3,24444.95,3.0499999999992724,2,30,7
7691.45,7714.315000000011,-22.865000000011605,7691.45,7717.65,-16.600000000000364,4,18,5
7859.3,7914.357750000005,-55.05775000000449,7859.3,7908.1,0.3000000000001819,0,16,4
8736.65,8758.947749999978,-22.297749999977896,8736.65,8739.0,-38.79999999999927,3,7,2
17890.0,17896.05499999999,-6.054999999989377,17890.0,17913.3,-92.15000000000146,0,2,1
17560.2,17539.215499999984,20.98450000001685,17560.2,17568.15,49.30000000000291,2,42,10
17309.8,17388.93200000002,-79.13200000001962,17309.8,17363.55,12.849999999998545,0,37,9
8447.0,8472.299250000004,-25.299250000003667,8447.0,8470.6,28.200000000000728,1,29,7
10236.95,10202.920250000012,34.02974999998878,10236.95,10207.4,-25.649999999999636,0,42,10
10506.9,10504.026999999985,2.8730000000141445,10506.9,10498.2,31.200000000000728,3,52,12
10527.55,10493.34949999998,34.20050000001902,10527.55,10523.35,46.05000000000109,0,50,12
15907.95,16003.022750000022,-95.07275000002119,15907.95,16021.1,194.64999999999964,3,19,5
8582.45,8579.907250000007,2.542749999993248,8582.45,8581.5,-39.45000000000073,4,39,9
13465.4,13501.711749999999,-36.31174999999894,13465.4,13458.1,-74.44999999999891,2,50,12
8308.55,8303.552499999996,4.997500000003129,8308.55,8308.25,11.399999999999636,4,43,10
10863.5,10828.419750000003,35.08024999999725,10863.5,10812.6,8.550000000001091,1,20,5
8256.1,8255.618000000011,0.48199999998905696,8256.1,8262.55,-9.0,0,43,10
8621.2,8575.126250000007,46.07374999999411,8621.2,8600.2,-79.09999999999854,4,31,8
17991.15,17950.722749999983,40.42725000001883,17991.15,17974.85,32.25,4,7,2
17336.85,17379.571750000014,-42.72175000001516,17336.85,17375.75,5.049999999999272,2,36,9
16780.35,16674.133,106.21699999999691,16780.35,16761.65,178.0500000000029,4,22,6
22409.45,22384.990000000023,24.4599999999773,22409.45,22421.55,9.349999999998545,2,17,4
18854.65,18881.91974999999,-27.269749999988562,18854.65,18873.3,119.09999999999854,0,25,6
25055.45,25039.326749999986,16.123250000015105,25055.45,25065.8,46.25,2,41,10
12104.3,12097.552749999983,6.74725000001672,12104.3,12131.35,70.85000000000036,0,51,12
7440.9,7459.897500000001,-18.99750000000131,7440.9,7425.3,74.15000000000055,0,3,1
10358.5,10389.995500000006,-31.49550000000636,10358.5,10390.3,98.5,1,41,10
18174.05,18243.54874999998,-69.49874999998065,18174.05,18246.4,88.45000000000073,0,47,11
7851.0,7839.985499999994,11.014500000005683,7851.0,7837.15,-55.400000000000546,3,48,11
8413.0,8442.533500000001,-29.533500000001368,8413.0,8413.2,-15.849999999998545,3,31,7
9686.75,9686.967750000009,-0.21775000000889122,9686.75,9704.25,67.35000000000036,1,23,6
10158.45,10138.222749999988,20.227250000012646,10158.45,10139.6,16.0,3,38,9
8481.75,8452.675999999989,29.074000000011438,8481.75,8474.95,92.65000000000146,3,13,3
8387.3,8397.098000000005,-9.798000000006141,8387.3,8391.7,-109.64999999999964,0,14,3
12136.65,12130.478249999986,6.171750000014072,12136.65,12114.9,-17.100000000000364,2,5,1
10380.4,10389.693749999997,-9.29374999999709,10380.4,10376.65,26.0,2,48,11
8356.15,8337.80624999999,18.343750000009095,8356.15,8336.25,-78.79999999999927,3,26,6
17020.75,17069.555500000002,-48.80550000000221,17020.75,17076.2,143.60000000000218,4,12,3
9977.5,9995.240999999976,-17.74099999997634,9977.5,10010.55,45.75,1,30,7
10521.55,10556.123000000005,-34.57300000000578,10521.55,10557.3,9.75,1,16,4
8226.2,8219.80749999999,6.392500000010841,8226.2,8228.75,23.299999999999272,0,23,6
